Date,StudyUID,Number participants,Number bins,Mailbox check interval,Fastest processing time,Slowest processing time,Mean processing time,Number messages received,Total size messages received,Number messages sent,Total size messages sent
Fri Jun 23 15:00:29 GMT 2023,0845D03C,20,10000,20000,48398,61680,56900.7,760,0,760,319274484
Fri Jun 23 15:01:33 GMT 2023,2BD20B36,20,10000,20000,48420,62322,57192.15,760,0,760,319292464
Fri Jun 23 15:02:36 GMT 2023,5F9793BC,20,10000,20000,48310,62174,57915.1,760,0,760,319332096
Fri Jun 23 15:03:39 GMT 2023,2C04B9CD,20,10000,20000,48091,61705,56684.45,760,0,760,319372668
Fri Jun 23 15:04:41 GMT 2023,177ED3DA,20,10000,20000,48006,61049,55953.25,760,0,760,319324692
Fri Jun 23 15:05:43 GMT 2023,CA7E6C29,20,10000,20000,48035,60764,56272.1,760,0,760,319356316
Fri Jun 23 15:06:45 GMT 2023,6F1545EF,20,10000,20000,48094,61007,56466.7,760,0,760,319336096
Fri Jun 23 15:07:48 GMT 2023,E65D859A,20,10000,20000,48094,62055,57797.75,760,0,760,319256552
Fri Jun 23 15:08:48 GMT 2023,DF25F168,20,10000,20000,48114,59009,54633.05,760,0,760,319360084
Fri Jun 23 15:09:49 GMT 2023,5794473F,20,10000,20000,48210,60450,55353.8,760,0,760,319366344
Fri Jun 23 15:10:51 GMT 2023,7EB3DC07,20,10000,20000,48036,60594,55894.05,760,0,760,319420368
Fri Jun 23 15:11:54 GMT 2023,DD65A460,20,10000,20000,48240,61358,56364.4,760,0,760,319408256
Fri Jun 23 15:12:56 GMT 2023,B3F2537E,20,10000,20000,47957,60612,56422.1,760,0,760,319320272
Fri Jun 23 15:13:58 GMT 2023,8091CBA0,20,10000,20000,48196,60597,55445.9,760,0,760,319319824
Fri Jun 23 15:14:59 GMT 2023,DB1D63CE,20,10000,20000,48125,59755,55550.1,760,0,760,319360348
Fri Jun 23 15:15:51 GMT 2023,E6669A0C,20,10000,15000,38088,50775,45439.4,760,0,760,319374764
Fri Jun 23 15:16:44 GMT 2023,5F5C39A3,20,10000,15000,38349,51348,46515.1,760,0,760,319342040
Fri Jun 23 15:17:36 GMT 2023,9BC69723,20,10000,15000,38157,50745,45413.15,760,0,760,319336716
